lat,lon,population,elevation,snr,tower_height,tx_power_dbm,coverage_km,type,cluster
52.100976990527336,-9.862336001917214,1084.2974662780762,11.0,0.4,25.55,22.0,2.3510997240848046,Rural,-1
52.1248646515249,-9.626528239835839,1070.2616920471191,58.0,0.6,27.9,23.0,2.7909394046516143,Rural,-1
52.100976990527336,-9.59284141668136,1070.10591506958,141.0,0.6,32.05,23.0,2.839720707422418,Rural,-1
51.93340479991839,-8.683297191510343,1069.7342109680176,127.0,0.6,31.35,23.0,2.8319524115850556,Rural,-1
52.172601582951685,-8.750670837819305,1055.357032775879,107.0,0.6,30.35,23.0,2.820548543283134,Rural,-1
51.95738212057867,-8.64961036835586,1033.1283159255981,129.0,0.6,31.45,23.0,2.8330727263228432,Rural,-1
51.93340479991839,-8.346428959965522,1022.5723972320557,45.0,0.4,27.25,22.0,2.3704028895627363,Rural,-1
52.124864651524895,-9.28966000829102,1019.6121263504028,212.0,0.8,35.6,24.0,3.302848498114774,Rural,-1
52.172601582951685,-9.6939018861448,1019.0902986526489,12.0,0.4,25.6,22.0,2.3516855760651763,Rural,-1
52.196450858814494,-8.919104953591718,1009.2461676597595,107.0,0.6,30.35,23.0,2.820548543283134,Rural,-1
52.339278028407364,-8.851731307282751,1008.0026865005493,,0.4,,22.0,2.07,Rural,-1
51.93340479991839,-8.144308021038631,1007.8557701110839,66.0,0.6,28.3,23.0,2.795947012774675,Rural,-1
51.95738212057867,-8.245368490502077,999.3124465942383,123.0,0.6,31.15,23.0,2.8297010213061027,Rural,-1
51.98134662469609,-8.211681667347593,995.3247938156128,84.0,0.6,29.2,23.0,2.806960109673219,Rural,-1
52.1248646515249,-9.491780947217915,995.0510225296019,181.0,0.8,34.05,24.0,3.2848689181113873,Rural,-1
52.02923719395261,-8.346428959965522,987.1594924926758,144.0,0.6,32.2,23.0,2.8413632560736235,Rural,-1
52.339278028407364,-8.986478599900678,979.5607643127441,,0.4,,22.0,2.07,Rural,-1
52.1248646515249,-9.896022825071697,971.2991313934326,7.0,0.4,25.35,22.0,2.3487447949318545,Rural,-1
52.315505448961204,-8.818044484128274,967.8786334991455,,0.4,,22.0,2.07,Rural,-1
52.100976990527336,-9.727588709299283,961.9370384216309,6.0,0.4,25.3,22.0,2.3481531596113143,Rural,-1
52.100976990527336,-8.986478599900678,956.8399753570557,95.0,0.6,29.75,23.0,2.8135244457523005,Rural,-1
52.05316326443564,-8.312742136811039,953.8523454666138,97.0,0.6,29.85,23.0,2.814704911726964,Rural,-1
52.33927802840738,-9.794962355608249,946.953670978546,,0.4,,22.0,2.07,Rural,-1
52.172601582951685,-9.222286361982054,939.579797744751,213.0,0.8,35.65,24.0,3.303415366794732,Rural,-1
52.220287345078376,-8.481176252583449,939.3131856918334,,0.4,,22.0,2.07,Rural,-1
52.339278028407364,-8.64961036835586,938.9624738693237,,0.4,,22.0,2.07,Rural,-1
52.172601582951685,-9.559154593526875,932.3541169166565,32.0,0.4,26.6,22.0,2.363168329275436,Rural,-1
51.95738212057867,-8.110621197884146,926.7461433410645,118.0,0.6,30.9,23.0,2.8268663683341164,Rural,-1
51.95738212057867,-8.582236722046897,922.1005773544312,81.0,0.6,29.05,23.0,2.805148370748343,Rural,-1
51.98134662469609,-8.683297191510343,920.258547782898,112.0,0.6,30.6,23.0,2.8234343554500803,Rural,-1
